id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
249,Saša Lukić,Fulham,12,0,0,66,26,0,0,1,0,109,19,25,43.2
250,Sander Berge,Fulham,6,0,0,31,10,0,0,0,0,126,28,22,56
251,Emile Smith Rowe,Fulham,3,0,0,19,14,4,0,0,0,75,6,20,23.1
252,Andreas Pereira,Fulham,7,0,0,28,24,1,1,0,0,100,13,23,36.1
253,Kenny Tete,Fulham,5,0,0,35,16,1,0,0,0,74,24,22,52.2
254,Adama Traoré,Fulham,3,0,0,24,32,1,0,0,0,87,25,26,49
255,Timothy Castagne,Fulham,1,0,0,15,6,1,0,1,0,57,34,35,49.3
256,Issa Diop,Fulham,2,0,0,10,4,0,0,0,1,45,20,12,62.5
257,Harry Wilson,Fulham,2,0,0,12,22,1,1,0,0,55,5,20,20
258,Rodrigo Muniz,Fulham,1,0,0,11,31,3,0,0,0,14,67,63,51.5
259,Ryan Sessegnon,Fulham,1,0,0,20,4,1,0,0,0,30,8,11,42.1
260,Reiss Nelson,Fulham,1,0,0,6,9,1,0,0,0,29,0,4,0
261,Jorge Cuenca,Fulham,0,0,0,2,2,0,0,0,0,10,6,3,66.7
262,Tom Cairney,Fulham,3,1,0,8,19,0,0,0,0,52,5,9,35.7
263,Willian,Fulham,0,0,0,1,0,0,0,0,0,14,1,3,25
264,Joshua King,Fulham,0,0,0,3,2,0,0,0,0,5,1,2,33.3
265,Harrison Reed,Fulham,2,0,0,6,2,0,0,1,0,10,1,2,33.3
266,Martial Godo,Fulham,0,0,0,1,0,0,0,0,0,1,0,1,0
267,Carlos Vinícius,Fulham,0,0,0,0,2,0,0,0,0,0,0,0,0
268,Jay Stansfield,Fulham,0,0,0,1,0,0,0,0,0,0,0,0,0
271,Dara O'Shea,Ipswich Town,6,0,0,21,26,3,0,0,0,110,114,85,57.3
272,Leif Davis,Ipswich Town,5,1,0,27,31,5,0,2,0,113,34,23,59.6
273,Liam Delap,Ipswich Town,12,0,0,72,51,14,2,0,0,68,55,74,42.6
274,Sam Morsy,Ipswich Town,10,0,0,48,27,0,0,1,1,157,18,24,42.9
275,Omari Hutchinson,Ipswich Town,5,0,0,30,46,6,0,0,0,110,6,26,18.8
276,Jacob Greaves,Ipswich Town,5,0,0,16,21,1,0,0,0,61,83,40,67.5
277,Jens Cajuste,Ipswich Town,2,0,0,24,22,0,0,0,0,107,13,22,37.1
278,Axel Tuanzebe,Ipswich Town,5,1,1,17,12,0,0,0,1,49,22,18,55
279,Arijanet Muric,Ipswich Town,1,0,0,0,4,0,0,0,0,26,11,1,91.7
280,Cameron Burgess,Ipswich Town,0,0,0,6,4,1,0,0,0,44,44,22,66.7
281,Ben Johnson,Ipswich Town,5,1,1,27,6,1,0,0,0,57,19,18,51.4
282,Kalvin Phillips,Ipswich Town,6,1,1,28,20,0,0,0,0,68,7,22,24.1
283,Alex Palmer,Ipswich Town,2,0,0,1,4,0,0,0,0,17,5,0,100
284,Sammie Szmodics,Ipswich Town,2,0,0,9,8,8,0,1,0,42,6,11,35.3
285,Luke Woolfenden,Ipswich Town,2,0,0,5,2,1,0,0,0,38,15,15,50
286,Jack Clarke,Ipswich Town,2,0,0,15,23,3,0,0,0,75,7,18,28
287,Wes Burns,Ipswich Town,1,0,0,4,11,0,0,0,0,50,8,21,27.6
288,Julio Enciso,Ipswich Town,3,0,0,9,21,0,0,1,0,43,8,17,32
289,Conor Chaplin,Ipswich Town,2,0,0,11,7,0,0,0,0,27,3,9,25
290,Nathan Broadhead,Ipswich Town,1,0,0,4,13,2,0,0,0,32,1,10,9.1
291,Christian Walton,Ipswich Town,0,0,0,0,1,0,0,0,0,6,2,0,100
292,George Hirst,Ipswich Town,3,0,0,13,12,3,0,0,0,12,32,23,58.2
293,Jaden Philogene Bidace,Ipswich Town,1,0,0,8,10,1,0,0,0,23,5,3,62.5
294,Jack Taylor,Ipswich Town,4,0,0,16,5,0,0,0,0,53,7,8,46.7
295,Harry Clarke,Ipswich Town,3,1,1,5,1,0,0,1,0,17,10,4,71.4
296,Conor Townsend,Ipswich Town,1,0,0,2,4,0,0,0,0,8,6,4,60
297,Chiedozie Ogbene,Ipswich Town,0,0,0,2,7,1,0,0,0,6,1,6,14.3
298,Massimo Luongo,Ipswich Town,0,0,0,1,2,0,0,0,0,10,2,0,100
299,Ben Godfrey,Ipswich Town,1,0,0,1,0,0,0,0,0,2,3,0,100
300,Ali Al Hamadi,Ipswich Town,3,0,0,8,3,1,0,0,0,4,5,9,35.7
301,Marcus Harness,Ipswich Town,0,0,0,0,0,1,0,0,0,2,0,0,0
302,George Edmundson,Ipswich Town,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Jamie Vardy,Leicester City,5,0,0,25,23,27,2,0,0,39,50,55,47.6
